cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
2	32768	2	2	4	4	262144	460029	58.1232	45.7858	43.7455	2.04024	12.3374	10.0891	2.24834	659733.0	204371.0	455361.0	0	0	8	8	0	0	0	0	9	45
2	65536	2	1	4	8	1048576	357467	83.7065	58.462	56.4217	2.04024	25.2445	21.1183	4.12621	1056870.0	204371.0	852502.0	0	0	8	8	0	0	0	0	9	45
1	131072	8	1	4	16	1048576	348100	333.786	149.275	145.876	3.39839	184.511	175.724	8.78763	2261580.0	268094.0	1993480.0	0	0	8	8	0	0	0	0	9	45
2	131072	1	4	2	2	131072	414740	82.9595	50.7242	48.6745	2.0497	32.2353	23.6567	8.57863	2136790.0	205137.0	1931650.0	0	0	8	8	0	0	0	0	9	49
1	16384	1	1	2	16	524288	749076	84.3746	70.417	66.9997	3.41732	13.9576	12.7499	1.20775	504153.0	269626.0	234527.0	0	0	8	8	0	0	0	0	9	53
1	65536	1	4	1	2	131072	637983	104.905	82.7463	79.3456	3.40076	22.1589	18.0809	4.07797	1119950.0	268286.0	851663.0	0	0	8	8	0	0	0	0	9	46
4	16384	8	1	1	4	524288	407163	36.8657	23.7953	22.1747	1.62058	13.0704	11.4927	1.57769	406633.0	182476.0	224158.0	0	0	8	8	0	0	0	0	9	49
4	65536	8	2	1	8	1048576	365016	49.6057	26.5772	24.9661	1.61112	23.0285	18.5052	4.52326	1066360.0	181710.0	884645.0	0	0	8	8	0	0	0	0	9	45
2	16384	1	2	2	16	1048576	495300	50.3643	42.4124	40.3627	2.0497	7.95194	6.74419	1.20775	439664.0	205137.0	234527.0	0	0	8	8	0	0	0	0	9	49
4	16384	2	4	1	8	1048576	420732	28.3682	23.1387	21.5087	1.63005	5.22946	3.99853	1.23093	417862.0	183241.0	234621.0	0	0	8	8	0	0	0	0	9	53
1	32768	4	2	4	16	262144	591117	108.115	88.3807	84.9728	3.40786	19.7338	17.4236	2.31017	724048.0	268860.0	455188.0	0	0	8	8	0	0	0	0	9	49
2	32768	16	4	1	8	1048576	472290	97.6363	44.4755	42.4258	2.0497	53.1609	49.356	3.80483	1067040.0	205137.0	861903.0	0	0	8	8	0	0	0	0	9	49
1	32768	4	1	4	8	1048576	580448	110.74	89.9257	86.5202	3.40549	20.8145	18.5043	2.31017	723857.0	268669.0	455188.0	0	0	8	8	0	0	0	0	9	48
2	32768	8	1	1	2	262144	521665	57.1578	40.3593	38.3096	2.0497	16.7985	14.26	2.53852	618810.0	205137.0	413672.0	0	0	8	8	0	0	0	0	9	49
1	32768	1	2	2	16	1048576	547968	113.653	95.8437	92.4453	3.39839	17.8094	15.6214	2.18802	802264.0	268094.0	534170.0	0	0	8	8	0	0	0	0	9	45
2	16384	8	4	2	8	524288	497791	55.2948	42.1007	40.051	2.0497	13.1941	11.6164	1.57769	429295.0	205137.0	224158.0	0	0	8	8	0	0	0	0	9	49
2	32768	4	1	4	1	131072	640540	42.4639	33.4644	31.4266	2.03787	8.99949	6.68931	2.31017	659368.0	204180.0	455188.0	0	0	8	8	0	0	0	0	9	44
2	32768	1	2	2	2	524288	522463	49.6434	40.5713	38.5287	2.0426	9.07209	6.88407	2.18802	738733.0	204563.0	534170.0	0	0	8	8	0	0	0	0	9	46
1	32768	2	1	2	8	1048576	574699	118.012	90.8202	87.4123	3.40786	27.192	24.9436	2.24834	724222.0	268860.0	455361.0	0	0	8	8	0	0	0	0	9	49
4	131072	8	4	2	2	524288	405326	61.4871	24.2491	22.6309	1.61822	37.2379	28.4503	8.78763	2175770.0	182284.0	1993480.0	0	0	8	8	0	0	0	0	9	48
4	65536	4	4	2	8	1048576	361066	42.4213	26.9735	25.3647	1.60875	15.4478	11.1588	4.28904	1066350.0	181519.0	884833.0	0	0	8	8	0	0	0	0	9	44
1	131072	2	2	4	2	262144	433043	231.018	120.592	117.184	3.40786	110.426	102.142	8.2837	2216440.0	268860.0	1947580.0	0	0	8	8	0	0	0	0	9	49
4	32768	8	1	2	4	262144	404390	40.0787	24.0715	22.4485	1.62295	16.0072	13.4687	2.53852	596340.0	182667.0	413672.0	0	0	8	8	0	0	0	0	9	50
4	131072	4	2	1	4	524288	328535	69.0593	29.4976	27.8864	1.61112	39.5618	30.8127	8.7491	2465660.0	181710.0	2283950.0	0	0	8	8	0	0	0	0	9	45
1	16384	1	4	1	8	131072	738112	81.6962	71.7098	68.3019	3.40786	9.98641	8.77867	1.20775	503387.0	268860.0	234527.0	0	0	8	8	0	0	0	0	9	49
2	32768	2	4	2	2	1048576	556987	46.932	38.2411	36.1914	2.0497	8.69089	6.44255	2.24834	660498.0	205137.0	455361.0	0	0	8	8	0	0	0	0	9	49
2	65536	16	1	2	1	262144	547723	91.5912	38.8447	36.795	2.0497	52.7465	47.0368	5.7097	1448350.0	205137.0	1243210.0	0	0	8	8	0	0	0	0	9	49
1	16384	1	1	2	1	131072	873290	69.2087	61.1937	57.7858	3.40786	8.01499	6.80724	1.20775	503387.0	268860.0	234527.0	0	0	8	8	0	0	0	0	9	49
2	65536	8	1	4	4	1048576	383209	82.8472	54.6511	52.6109	2.04024	28.1961	23.6728	4.52326	1089020.0	204371.0	884645.0	0	0	8	8	0	0	0	0	9	45
2	32768	1	4	4	8	262144	480813	54.9858	43.9861	41.9459	2.04024	10.9997	8.81169	2.18802	738542.0	204371.0	534170.0	0	0	8	8	0	0	0	0	9	45
