cycle_time,pipelining,cache_size,cache_assoc,cache_hit_latency,cache_line_sz,cache_queue_size,tlb_hit_latency,tlb_miss_latency,tlb_entries,tlb_max_outstanding_walks,tlb_assoc,tlb_bandwidth,l2cache_size,pipelined_dma,ignore_cache_flush,cycle,avg_power,fu_power,avg_fu_dynamic_power,avg_fu_leakage_power,avg_mem_power,avg_mem_dynamic_power,avg_mem_leakage_power,total_area,fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
4,0,131072,2,3,64,128,2,4,32,8,1,2,524288,0,1,367966,42.7675,24.5925,23.3027,1.28983,18.1751,12.5005,5.6745800000000015,868773,147697.0,721076.0,0,0,6,8,0,0,0,0,9,37
5,0,16384,1,2,64,16,4,16,64,4,4,1,1048576,0,1,467814,18.6568,15.2106,14.3784,0.83226,3.4461800000000005,2.79636,0.649817,147635,95149.2,52485.5,0,0,4,4,0,0,0,0,9,49
3,0,65536,16,2,64,32,3,4,8,8,4,2,262144,1,0,380132,64.7638,32.3517,31.0088,1.34296,32.4121,28.8413,3.57077,666313,154566.0,511747.0,0,0,6,8,0,0,0,0,9,34
5,1,16384,16,2,32,16,2,8,64,4,4,1,131072,1,1,281780,34.9981,25.5166,23.9246,1.59205,9.48149,8.547889999999999,0.933599,234886,163307.0,71579.2,0,0,5,5,0,0,0,0,9,296
1,0,16384,1,4,32,128,3,2,8,8,4,1,524288,1,1,751554,74.5284,63.6287,61.752,1.87672,10.8997,10.2015,0.69821,211144,148022.0,63121.4,0,0,4,5,0,0,0,0,9,38
2,0,65536,16,1,64,16,3,4,16,8,1,1,262144,0,0,571240,51.4896,33.7923,32.7136,1.07877,17.6973,15.0739,2.62343,301304,109916.0,191388.0,0,0,4,5,0,0,0,0,9,25
3,1,32768,1,3,64,128,1,4,64,4,4,1,524288,1,1,272450,56.2794,46.7206,43.1427,3.57792,9.55882,8.304739999999999,1.25407,428531,323377.0,105153.0,0,0,5,5,0,0,0,0,9,1095
1,1,131072,8,4,32,16,1,4,16,4,8,2,1048576,0,1,145042,479.17800000000005,325.69,319.567,6.12258,153.488,147.203,6.28526,1391640,486485.0,905154.0,0,0,10,10,0,0,0,0,9,850
4,1,65536,4,3,64,16,2,8,8,8,8,2,262144,1,0,138724,92.9238,66.0139,61.5552,4.45874,26.9098,23.9419,2.96795,779383,424633.0,354750.0,0,0,10,10,0,0,0,0,9,1091
1,1,131072,2,4,64,128,4,8,16,4,4,1,131072,1,1,274685,228.987,173.46900000000005,168.826,4.64265,55.5184,50.8359,4.6824900000000005,706263,371651.0,334613.0,0,0,5,5,0,0,0,0,9,1090
4,1,16384,8,1,64,128,2,1,8,8,2,1,524288,0,0,274205,41.7655,34.7515,31.2121,3.53937,7.01408,6.30461,0.7094659999999999,377656,321053.0,56602.5,0,0,5,6,0,0,0,0,9,1081
