round,objective_0,objective_1,raw_output_0,raw_output_1,knob_0,knob_1,knob_2,knob_3,knob_4,knob_5,knob_6,knob_7,knob_8,knob_9,knob_10,knob_11,metric_0,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23
0,0.003895408,0.014920273,0.003888297,0.985031367,0,1,0.666666667,0,0,0,0.8,0.1,1,0,1,1,0.708560492,0.419765908,0.518721463,0.145562981,0.311326267,0.291896641,0.400861426,1,0.607823156,0.885050156,0.518721463,0.942401061,0.776211116,0.05491315,0,0.130579838,0.942873709,0.963461022,0,0.942871397,0.870856915,0.932234279,0.941587207,0.963574568
0.020408163,0.615931744,0.91571754,0.615937136,0.084283328,0,0.444444444,0.333333333,0.7,0.5,1,0.8,0.6,0.8,0.222222222,0.111111111,0.111111111,0.330295661,0.225166667,1,0.060813965,0.205290721,0.164985976,0.311986053,0.153658307,0.280964685,0.275580043,1,0.254142811,0.069780892,0.013838256,0,0.555974006,0.254277041,0.209501165,0,0.254277766,0.12040391,0.307570911,0.253664603,0.212445642
0.040816327,0.064313651,0.339635535,0.064300608,0.660304714,0,0.222222222,1,0,0.2,0,0.6,1,1,0,0.666666667,0.444444444,0.727941699,0.161944793,0.546574924,0.116455868,0.158876973,0.149784127,0.34975153,0.387413776,0.487188999,0.850981568,0.546574924,0.723606419,0.212604285,0.028455027,0,0.820775054,0.72337224,0.595559403,0,0.723372001,0.635255271,0.693402135,0.725747905,0.602409319
0.06122449,0.395549457,0.811503417,0.395550151,0.188516542,0,0.111111111,0.333333333,0.3,1,0,0.4,0.4,0.8,0.333333333,0.111111111,0.222222222,0.490564019,0.417965379,0.647221878,0.0723146,0.245214457,0.212566162,0.228328852,0.240088802,0.164858246,0.358011509,0.647221878,0.321793051,0.162546123,0.023699354,0,0.635656778,0.321778719,0.279466301,0,0.321778748,0.192931134,0.309052753,0.323088994,0.282394205
0.081632653,1,1,1,0,0.777777778,0,1,0.6,0.7,0,0.4,0.4,0.8,1,0,0,0.002107725,0.020792184,0.185483344,0.009871824,0.045508785,0.010419534,0.08263208,0,0.093642277,0.032532193,0.185483344,0.029765579,0.034464338,0.000289139,0,0.527250486,0.029877573,0.0237442,0,0.029877433,0.217729947,0.062835104,0.030341104,0.024670626
0.102040816,0.242871562,0.70523918,0.242865355,0.294763204,0,0.111111111,0,0.5,0.2,1,0.2,0.2,0.8,0.111111111,0.222222222,0.444444444,0.666841398,0.51717857,0.797681587,0.128508168,0.404991293,0.375549306,0.474112313,0.357900973,0.419479773,0.644905378,0.797681587,0.579812088,0.697234179,0.042603309,0,0.854763113,0.57988626,0.487751585,0,0.579885808,0.541520554,0.611030144,0.580728068,0.492948864
0.12244898,0.98960699,0.998291572,0.989605449,0.001759476,0.888888889,0,0.666666667,0.1,0.2,1,0,0.9,0.2,0.666666667,0,0,0,0.06194089,0.005618151,0,0.03290582,0,0,0.000190958,0,0,0.005618151,0,0,0,0,0.461810685,0,0,0,0,0.221534678,0,0,0
0.142857143,0.069502271,0.356833713,0.069497206,0.643183865,0.444444444,0.111111111,0.666666667,0.8,0.5,1,0.2,0.2,1,0.555555556,0.111111111,0.777777778,0.674896556,0.620694023,0.730465931,0.151884089,0.502212917,0.467264677,0.544370375,0.756811344,0.554139767,0.767299119,0.730465931,0.763915385,0.78102334,0.059889784,0,0.82723696,0.764197186,0.63929196,0,0.764195177,0.915136045,0.835566519,0.764819993,0.646395647
0.163265306,0.904176129,0.984510251,0.904186291,0.015489668,0.111111111,0.555555556,0.666666667,0.1,1,1,0.8,0.6,1,0.777777778,0.111111111,0,0.144153607,0.024211224,0.31459915,0.015410415,0.046686155,0.017751038,0.104661642,0.010973265,0.122859841,0.10058459,0.31459915,0.08272462,0.037948751,0.000825315,0,0.487045396,0.082784234,0.060184349,0,0.082784876,0.26253085,0.108967817,0.082508569,0.061275344
0.183673469,0.295814408,0.753530752,0.295815607,0.246458794,0.111111111,0.666666667,1,1,1,0,1,0.7,0.8,0.222222222,0.555555556,0.333333333,0.571457805,0.428842638,0.70907682,0.112745887,0.341294286,0.307031688,0.424241807,0.486482927,0.362513906,0.540294509,0.70907682,0.473530622,0.426956315,0.035955243,0,0.702520158,0.473618426,0.420281802,0,0.473618544,0.395339158,0.532344077,0.474698032,0.425069714
