objective_0,objective_1,raw_output_0,raw_output_1,knob_0,knob_1,knob_2,knob_3,knob_4,knob_5,knob_6,knob_7,knob_8,knob_9,knob_10,knob_11,metric_0,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23
0.04889244,0.3207231602,0.0230061795,0.8798329048,0,1,0.6666666667,0,0,0,0.8,0.1,1,0,1,1,0.8449202724,0.3942889397,0.6423993749,0.0680871877,0.2257251818,0.2154104555,0.2317853545,0.8901708481,0.422540953,0.6818886972,0.6423993779,0.8787904123,0.5262405241,0.0329962897,0,0.7913212142,0.878973964,0.9306035703,0,0.8789738793,0.6927810485,0.868068766,0.8785716143,0.9333558339
0.1111470003,0.5346447913,0.0869587617,0.6027271946,0.1111111111,0.7777777778,1,0.1,0.9,1,0,1,1,0.6666666667,0,0.5555555556,0.8423840493,0.4412636595,0.7181110645,0.0635481387,0.2757600113,0.2608754542,0.2838780615,0.4820537853,0.3782311125,0.5909427105,0.718111067,0.7608518571,0.2881728951,0.0269846962,0,0.7830226038,0.7609183179,0.6280946037,0,0.7609189242,0.6442154199,0.728157292,0.7620234951,0.6376651207
0.0988558897,0.4910003186,0.0743315183,0.6592870693,1,0.1111111111,0,1,1,0,0.4,0.7,1,0.6666666667,0.1111111111,0.8888888889,0.8513439088,0.6959727205,0.7500798996,0.1002576319,0.4275146122,0.4022492561,0.33646644,0.6963416374,0.4194344296,0.6020543825,0.7500799008,0.8725157826,0.6873438446,0.0701147978,0,0.7849717517,0.8726691609,0.9179034119,0,0.8726695702,0.6412970429,0.8443130296,0.8726929206,0.919412344
0.1139350254,0.5555113093,0.0898147194,0.5757315372,0.2222222222,0.4444444444,0.6666666667,0.9,0.5,0,0.2,0.1,0.875,0.6666666667,0.1111111111,0.5555555556,0.8787687152,0.4672866773,0.726398174,0.0646367823,0.2846769613,0.275932069,0.291594784,0.421685023,0.3691698357,0.672799032,0.7263981739,0.7173421275,0.6546011718,0.0289483153,0,0.7711862931,0.7173262606,0.6007039206,0,0.7173273976,0.5970565548,0.6833773733,0.719229042,0.6098896179
0.0839807558,0.4744345333,0.059057032,0.6807635616,0.1111111111,0.8888888889,0,0.8,0.3,0,0.6,1,1,0.7777777778,0,0.8888888889,0.8432563578,0.692924188,0.6951116781,0.0755321766,0.4079314279,0.3822917747,0.3076860372,0.6857448128,0.3820379444,0.5781395321,0.6951116825,0.8495824065,0.6977773398,0.0417870486,0,0.1278533079,0.8496463269,0.9023907089,0,0.8496461066,0.6372363884,0.8243664329,0.8499515296,0.9041233623
0.0872957857,0.4872570882,0.0624519494,0.6640963441,0.2222222222,0.3333333333,1,0.8,0.4,0,0,0.1,0.875,0,0.6666666667,0.4444444444,0.8712176909,0.1559547332,0.6338602057,0.050932631,0.1055090037,0.1081285984,0.1960977247,0.3657744045,0.3455351912,0.6903239845,0.6338602051,0.7087346519,0.1624897773,0.0169414615,0,0.7838542984,0.7093555603,0.5829408598,0,0.7093543102,0.5438661373,0.5970311961,0.7092734099,0.5896063481
0.2957856621,0.7871933737,0.276623682,0.2756026466,0.1111111111,0.1111111111,1,0.7,0.4,0,1,0.2,0.25,0.2222222222,0,0.3333333333,0.820198918,0.4088534927,0.7097423416,0.0468025193,0.2415269848,0.2256707607,0.2408053471,0.4460749252,0.2435716383,0.4569308704,0.7097423446,0.4663842542,0.3554881396,0.0204718783,0,0.662005785,0.4662849289,0.4086148576,0,0.4662871108,0.3592081728,0.4691530978,0.4671947416,0.4138015043
0.1316321847,0.5946161198,0.1079993237,0.5250715509,0.4444444444,0,0.6666666667,0.6,0,1,0.4,0.5,0.625,0.1111111111,0.1111111111,0.5555555556,0.9011886702,0.4962808774,0.631097729,0.0585659489,0.2898771681,0.2850623821,0.2857223448,0.432631512,0.3303008609,0.5989686598,0.6310977311,0.6967962135,0.78307048,0.0275213737,0,0.8711315522,0.6966535567,0.6025863012,0,0.6966546768,0.6292252698,0.7095591999,0.6984779152,0.6114411929
0.2586233276,0.7715036636,0.2384539784,0.2959924913,0,0.6666666667,0.6666666667,0.6,0.5,0,1,0.7,0.875,0,0.3333333333,0.3333333333,0.8875054239,0.231148226,0.6544303268,0.0386910717,0.1083950437,0.112738147,0.1382018451,0.4652167466,0.2036575918,0.5084983256,0.6544303287,0.4966511489,0.062291967,0.0132391209,0,0.7847652444,0.4958763437,0.4183010202,0,0.4958794095,0.3351728849,0.411281914,0.500418533,0.4249156571
0.3404790643,0.8325103536,0.3225263998,0.2169078134,0,0.7777777778,0.3333333333,0,0.8,1,0.4,0,1,0.1111111111,0.2222222222,0.8888888889,0,0.1484528971,0.1184358647,0.043493687,0.191577472,0.055815701,0.0611584246,0.5497067226,0.2269316238,0.3994043123,0.1184358638,0.5208600001,0.404879272,0.0229491719,0,0.7374518445,0.5208994935,0.5886168785,0,0.5209009166,0.6193412354,0.5631834573,0.5231087201,0.5983088437
