num_threads,l2_assoc,accel_clock_time,num_accels,l2_size,total_time (ns),total_accel_time (ns),total_energy (nJ),fu_energy (nJ),spad_energy (nJ),llc_leakage_energy (nJ),llc_dynamic_energy (nJ),total_area (uM^2),fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
1,8,8,1,65536,2617288,1207520,18879.93,8027.55,1880.24,8621.11,351.02,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,65536,1597600,846408,17329.23,11350.6,1739.51,4082.91,156.2,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,65536,1065848,636546,11791.27,4526.1,1891.99,4626.12,747.06,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,65536,1069116,637478,10281.7,4533.1,1892.32,3521.57,334.71,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,65536,2614920,1206288,15732.18,1880.48,1717.69,11349.59,784.42,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,1,1,65536,804528,529041,13227.46,8208.52,2043.23,2650.04,325.67,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,1,1,65536,802955,530029,20749.35,14489.34,2043.94,3485.08,730.99,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,65536,1585948,843252,15109.74,5655.32,1814.88,6883.52,756.02,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,4,1,65536,1593248,843584,8747.4,1414.62,1739.26,5248.02,345.5,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,65536,802910,530395,15442.25,4304.83,1853.89,7721.47,1562.07,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,65536,1065778,637226,16263.27,2666.8,1777.91,10249.43,1569.14,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,65536,2615736,1205944,29590.86,1049.52,1717.68,25155.14,1668.51,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,4,1,65536,1478996,601780,30824.2,4261.22,919.73,14223.28,11419.96,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,65536,730946,279438,8397.27,2750.72,804.05,2407.67,2434.83,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,65536,973362,387948,13524.37,3091.88,773.39,4224.7,5434.41,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,65536,1478320,602052,14759.66,2132.02,757.79,6416.38,5453.46,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,65536,1591236,846016,29925.7,10724.61,2270.74,15302.68,1627.66,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,65536,1073634,637576,23599.52,18124.21,2578.68,2743.83,152.79,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,65536,988510,388482,7613.27,3092.78,843.19,2526.29,1151.02,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,1,1,65536,811559,530683,22636.5,17225.74,3186.89,2074.06,149.81,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,65536,2614832,1205496,10493.63,1880.08,1771.73,6682.6,159.22,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,1,1,65536,740585,279086,6691.49,2747.25,904.07,1892.68,1147.49,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,65536,2527640,1022584,24463,6950.28,1070.75,10970.77,5471.21,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,1,1,65536,725917,280337,22646.55,2753.93,1508.52,6981.03,11403.07,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,65536,974480,389446,24661.03,3099.91,801.54,9371.43,11388.14,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,65536,2517800,1021568,43685.69,6944.72,1070.39,24213.3,11457.27,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,16,1,1,65536,727224,279575,12843.8,2747.8,1506.33,3156.38,5433.29,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,65536,979036,387894,19289.63,12362.04,1260.55,3224.86,2442.19,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,4,1,65536,1479636,598796,12487.49,4243.99,918.66,4873.79,2451.06,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,65536,2554456,1026760,15741.49,6979.41,1072.25,6528.3,1161.53,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,8,1,65536,2533528,1024072,18827.43,6958.21,1071.28,8345.21,2452.73,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,65536,1493304,599740,10356.07,4250.9,1134.22,3816.36,1154.59,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,8,1,131072,2592256,1205432,20013.83,8016.94,2096.15,9572.99,327.74,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,131072,1576616,848812,12514.46,5689.77,1968.17,4695.48,161.05,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,131072,1047146,637444,13693.73,4530.74,1892.31,6586.95,683.74,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,131072,1047468,637218,10603.55,4530.8,1892.23,3868.22,312.3,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,131072,1571204,848404,18005.11,5688.66,1739.69,9883.47,693.29,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,4,1,131072,1568076,843240,13732.37,5656.28,1966.17,5790.78,319.15,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,131072,779750,529257,9334.16,4297.76,1853.49,2879.55,303.35,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,131072,2601312,1206536,27190.39,8022.03,2096.55,16363.24,708.57,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,16,1,1,131072,779858,529104,11711.5,4295.1,1853.43,4905.6,657.37,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
