num_threads	l2_assoc	accel_clock_time	soc_interface	num_accels	l2_size	total_time (ns)	total_accel_time (ns)	total_energy (nJ)	fu_energy (nJ)	spad_energy (nJ)	llc_leakage_energy (nJ)	llc_dynamic_energy (nJ)	total_area (uM^2)	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	8	8	dma	1	65536	2617288.00	1207520.00	18879.93	8027.55	1880.24	8621.11	351.02	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	4	dma	1	65536	1597600.00	846408.00	17329.23	11350.60	1739.51	4082.91	156.20	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	2	dma	1	65536	1065848.00	636546.00	11791.27	4526.10	1891.99	4626.12	747.06	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	2	dma	1	65536	1069116.00	637478.00	10281.70	4533.10	1892.32	3521.57	334.71	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	8	dma	1	65536	2614920.00	1206288.00	15732.18	1880.48	1717.69	11349.59	784.42	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	1	dma	1	65536	804528.00	529041.00	13227.46	8208.52	2043.23	2650.04	325.67	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	1	dma	1	65536	802955.00	530029.00	20749.35	14489.34	2043.94	3485.08	730.99	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	4	dma	1	65536	1585948.00	843252.00	15109.74	5655.32	1814.88	6883.52	756.02	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	4	dma	1	65536	1593248.00	843584.00	8747.40	1414.62	1739.26	5248.02	345.50	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	1	dma	1	65536	802910.00	530395.00	15442.25	4304.83	1853.89	7721.47	1562.07	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	2	dma	1	65536	1065778.00	637226.00	16263.27	2666.80	1777.91	10249.43	1569.14	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	8	dma	1	65536	2615736.00	1205944.00	29590.86	1049.52	1717.68	25155.14	1668.51	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	4	acp	1	65536	1478996.00	601780.00	30824.20	4261.22	919.73	14223.28	11419.96	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	1	acp	1	65536	730946.00	279438.00	8397.27	2750.72	804.05	2407.67	2434.83	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	2	acp	1	65536	973362.00	387948.00	13524.37	3091.88	773.39	4224.70	5434.41	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	4	acp	1	65536	1478320.00	602052.00	14759.66	2132.02	757.79	6416.38	5453.46	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	4	dma	1	65536	1591236.00	846016.00	29925.70	10724.61	2270.74	15302.68	1627.66	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	2	dma	1	65536	1073634.00	637576.00	23599.52	18124.21	2578.68	2743.83	152.79	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	2	acp	1	65536	988510.00	388482.00	7613.27	3092.78	843.19	2526.29	1151.02	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	1	dma	1	65536	811559.00	530683.00	22636.50	17225.74	3186.89	2074.06	149.81	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	dma	1	65536	2614832.00	1205496.00	10493.63	1880.08	1771.73	6682.60	159.22	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	1	acp	1	65536	740585.00	279086.00	6691.49	2747.25	904.07	1892.68	1147.49	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	16	8	acp	1	65536	2527640.00	1022584.00	24463.00	6950.28	1070.75	10970.77	5471.21	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	32	1	acp	1	65536	725917.00	280337.00	22646.55	2753.93	1508.52	6981.03	11403.07	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	2	acp	1	65536	974480.00	389446.00	24661.03	3099.91	801.54	9371.43	11388.14	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	32	8	acp	1	65536	2517800.00	1021568.00	43685.69	6944.72	1070.39	24213.30	11457.27	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	16	1	acp	1	65536	727224.00	279575.00	12843.80	2747.80	1506.33	3156.38	5433.29	1772760.00	632878.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	2	acp	1	65536	979036.00	387894.00	19289.63	12362.04	1260.55	3224.86	2442.19	1734300.00	594417.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	4	acp	1	65536	1479636.00	598796.00	12487.49	4243.99	918.66	4873.79	2451.06	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	4	8	acp	1	65536	2554456.00	1026760.00	15741.49	6979.41	1072.25	6528.30	1161.53	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	8	8	acp	1	65536	2533528.00	1024072.00	18827.43	6958.21	1071.28	8345.21	2452.73	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
1	4	4	acp	1	65536	1493304.00	599740.00	10356.07	4250.90	1134.22	3816.36	1154.59	1723940.00	584053.00	1139890.00	0.00	0.00	0.00	0.00	0.00	20.00	144.00	35.00	18.00	1632.00
1	8	8	dma	1	131072	2592256.00	1205432.00	20013.83	8016.94	2096.15	9572.99	327.74	1728230.00	588348.00	1139890.00	0.00	0.00	0.00	0.00	0.00	21.00	144.00	35.00	18.00	1633.00
