cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
2	32768	2	2	4	4	262144	68366	15.2851	3.55775	2.7177	0.840047	11.7274	9.47901	2.24834	535525.0	80163.5	455361.0	0	0	0	0	0	8	84	30	31	77
2	65536	2	1	4	8	1048576	64057	24.8558	3.7517	2.90455	0.847147	21.1041	16.9779	4.12621	933240.0	80737.7	852502.0	0	0	0	0	0	8	84	30	31	80
1	131072	8	1	4	16	1048576	75033	132.659	7.19453	6.13893	1.0556	125.464	116.676	8.78763	2090870.0	97383.7	1993480.0	0	0	0	0	0	8	84	30	31	73
2	131072	1	4	2	2	131072	85325	32.6067	3.01943	2.17938	0.840047	29.5873	21.0087	8.57863	2011820.0	80163.5	1931650.0	0	0	0	0	0	8	84	30	31	77
1	16384	1	1	2	16	524288	166969	10.5461	3.80452	2.75839	1.04613	6.74157	5.53382	1.20775	331145.0	96618.1	234527.0	0	0	0	0	0	8	84	30	31	69
1	65536	1	4	1	2	131072	216005	16.5846	3.18957	2.13161	1.05797	13.395	9.31703	4.07797	949238.0	97575.1	851663.0	0	0	0	0	0	8	84	30	31	74
4	16384	8	1	1	4	524288	50286	12.06	2.49979	1.66916	0.830635	9.56023	7.98254	1.57769	299219.0	75061.0	224158.0	0	0	0	0	0	8	84	30	31	72
4	65536	8	2	1	8	1048576	52594	18.6277	2.42618	1.59554	0.830635	16.2015	11.6783	4.52326	959706.0	75061.0	884645.0	0	0	0	0	0	8	84	30	31	72
2	16384	1	2	2	16	1048576	116397	7.62534	2.44573	1.59858	0.847147	5.17961	3.97187	1.20775	315265.0	80737.7	234527.0	0	0	0	0	0	8	84	30	31	80
4	16384	2	4	1	8	1048576	58208	7.57565	2.2721	1.44147	0.830635	5.30354	4.07261	1.23093	309682.0	75061.0	234621.0	0	0	0	0	0	8	84	30	31	72
1	32768	4	2	4	16	262144	95431	22.9563	5.87117	4.8203	1.05087	17.0852	14.775	2.31017	552189.0	97000.9	455188.0	0	0	0	0	0	8	84	30	31	71
2	32768	16	4	1	8	1048576	70092	54.627	3.49884	2.65169	0.847147	51.1282	47.3233	3.80483	942641.0	80737.7	861903.0	0	0	0	0	0	8	84	30	31	80
1	32768	4	1	4	8	1048576	93423	24.0711	5.97546	4.92932	1.04613	18.0956	15.7855	2.31017	551806.0	96618.1	455188.0	0	0	0	0	0	8	84	30	31	69
2	32768	8	1	1	2	262144	80045	18.1911	3.16148	2.32143	0.840047	15.0296	12.4911	2.53852	493836.0	80163.5	413672.0	0	0	0	0	0	8	84	30	31	77
1	32768	1	2	2	16	1048576	172607	12.9935	3.72349	2.66789	1.0556	9.26998	7.08196	2.18802	631554.0	97383.7	534170.0	0	0	0	0	0	8	84	30	31	73
2	16384	8	4	2	8	524288	70881	16.3029	3.46906	2.62191	0.847147	12.8339	11.2562	1.57769	304896.0	80737.7	224158.0	0	0	0	0	0	8	84	30	31	80
2	32768	4	1	4	1	131072	114868	10.8906	2.45559	1.62027	0.835314	8.43501	6.12484	2.31017	534969.0	79780.7	455188.0	0	0	0	0	0	8	84	30	31	75
