cycle_time,pipelining,cache_size,cache_assoc,cache_hit_latency,cache_line_sz,cache_queue_size,tlb_hit_latency,tlb_miss_latency,tlb_entries,tlb_max_outstanding_walks,tlb_assoc,tlb_bandwidth,l2cache_size,pipelined_dma,ignore_cache_flush,cycle,avg_power,fu_power,avg_fu_dynamic_power,avg_fu_leakage_power,avg_mem_power,avg_mem_dynamic_power,avg_mem_leakage_power,total_area,fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
4,0,131072,4,1,32,128,1,16,64,8,8,1,131072,1,0,40929,18.1272,2.55447,2.08603,0.468447,15.5727,10.6042,4.96851,484252.0,41601.5,442651.0,0,0,0,0,0,2,84,30,31,40
5,0,16384,2,3,32,16,2,4,32,8,4,2,262144,0,1,58151,4.6578800000000005,1.72059,1.11503,0.6055590000000001,2.93729,2.04369,0.893599,171492.0,54187.7,117304.0,0,0,0,0,0,4,84,30,31,58
3,0,65536,16,2,64,16,3,1,32,4,2,2,131072,0,0,40982,26.2395,3.44682,2.76644,0.680372,22.7926,19.2219,3.57077,573768.0,62021.5,511747.0,0,0,0,0,0,4,84,30,31,91
5,1,16384,16,4,32,64,4,2,16,8,8,1,1048576,1,1,37610,11.1173,4.29565,1.73942,2.55623,6.82167,5.88807,0.933599,282143.0,210564.0,71579.2,0,0,0,0,0,2,84,30,31,923
1,0,16384,2,1,64,64,1,4,32,4,1,1,524288,1,0,52383,19.6116,9.4422,8.8727,0.569505,10.1694,9.51794,0.651439,110158.0,57744.4,52413.6,0,0,0,0,0,2,84,30,31,63
2,0,131072,1,1,32,128,1,4,64,8,2,1,131072,1,0,43142,29.4306,4.84079,4.36871,0.472084,24.5899,19.6544,4.93548,489060.0,43020.7,446039.0,0,0,0,0,0,2,84,30,31,42
3,1,32768,2,3,32,64,2,4,64,4,2,2,131072,0,0,32266,18.1221,6.25141,3.55714,2.69426,11.8707,10.2324,1.63829,499074.0,224908.0,274166.0,0,0,0,0,0,4,84,30,31,942
2,0,16384,1,2,64,64,2,2,64,4,2,1,524288,0,0,116791,4.85342,2.17157,1.61192,0.559645,2.68185,2.0320400000000003,0.649817,102588.0,50102.7,52485.5,0,0,0,0,0,2,84,30,31,79
4,1,65536,8,4,64,128,1,1,16,4,4,1,262144,0,1,31137,14.5246,5.29676,2.74342,2.55333,9.22785,6.67935,2.5485,404947.0,210230.0,194717.0,0,0,0,0,0,2,84,30,31,921
1,1,131072,8,4,32,64,2,1,32,4,1,2,1048576,1,1,31687,86.0857,17.2855,14.4943,2.79118,68.8003,62.515,6.28526,1142700.0,237544.0,905154.0,0,0,0,0,0,4,84,30,31,936
4,1,16384,16,3,32,32,4,1,64,8,1,1,262144,1,1,37902,13.0534,4.8198,2.2641,2.5557,8.2336,7.3,0.933599,282001.0,210421.0,71579.2,0,0,0,0,0,2,84,30,31,922
1,1,32768,16,3,64,64,3,16,16,8,1,1,1048576,0,1,42684,37.382,13.5608,10.9348,2.6259900000000003,23.8212,22.3698,1.4514,332742.0,224076.0,108666.0,0,0,0,0,0,2,84,30,31,932
4,0,16384,8,2,32,16,4,8,64,4,2,1,1048576,1,1,69601,5.1818300000000015,1.6845599999999998,1.22558,0.458981,3.49727,2.73867,0.758596,97444.4,40835.9,56608.5,0,0,0,0,0,2,84,30,31,36
4,1,16384,1,1,32,64,3,8,64,4,2,1,262144,0,0,40150,9.04641,4.69085,2.13751,2.55333,4.35556,3.65735,0.69821,273352.0,210230.0,63121.4,0,0,0,0,0,2,84,30,31,921
4,0,65536,2,4,32,32,4,4,32,4,1,2,131072,0,1,66394,9.70321,1.8689,1.26315,0.605741,7.83431,4.74935,3.08497,440202.0,54094.5,386108.0,0,0,0,0,0,4,84,30,31,57
1,1,65536,4,4,64,64,2,2,64,4,1,1,1048576,1,1,35285,39.9429,15.8592,13.2261,2.63309,24.0837,21.5805,2.50325,417367.0,224650.0,192717.0,0,0,0,0,0,2,84,30,31,935
3,0,32768,2,1,32,16,4,16,16,8,1,2,1048576,0,1,86128,7.460189999999999,1.90681,1.31163,0.595178,5.5533800000000015,3.91509,1.63829,329297.0,55130.9,274166.0,0,0,0,0,0,4,84,30,31,55
1,0,16384,16,2,32,16,4,16,64,8,2,1,131072,0,0,106651,16.7773,4.86877,4.36316,0.505609,11.9085,10.9749,0.933599,124156.0,52576.5,71579.2,0,0,0,0,0,2,84,30,31,36
4,0,131072,8,1,32,32,4,4,16,8,2,2,1048576,1,0,39192,22.3576,2.73732,2.13158,0.605741,19.6203,13.335,6.28526,959248.0,54094.5,905154.0,0,0,0,0,0,4,84,30,31,57
5,0,131072,2,1,64,32,1,1,32,4,2,2,131072,0,1,31300,17.0535,2.71804,2.04622,0.671821,14.3355,8.66087,5.6745800000000015,780623.0,59547.1,721076.0,0,0,0,0,0,4,84,30,31,86
1,0,16384,1,3,32,32,2,8,32,4,1,2,524288,0,1,194365,6.839739999999999,3.0706900000000004,2.35967,0.7110270000000001,3.76905,2.88812,0.8809239999999999,185349.0,69298.7,116051.0,0,0,0,0,0,4,84,30,31,57
5,0,65536,2,1,64,128,4,4,32,4,8,2,262144,1,1,38954,10.1352,2.31598,1.6441599999999998,0.671821,7.819210000000001,4.91233,2.90688,445753.0,59547.1,386206.0,0,0,0,0,0,4,84,30,31,86
4,0,65536,8,3,64,16,4,2,32,8,8,2,131072,0,1,43845,12.5957,2.58415,1.89795,0.6862020000000001,10.0116,6.96179,3.04978,416490.0,60602.3,355888.0,0,0,0,0,0,4,84,30,31,91
4,1,16384,8,2,64,16,4,2,64,8,8,2,524288,0,1,25303,14.1002,5.99434,3.30134,2.69299,8.10585,7.172339999999998,0.933512,347369.0,222914.0,124455.0,0,0,0,0,0,4,84,30,31,939
1,1,32768,16,3,64,128,1,16,32,4,2,1,1048576,0,1,39181,40.5355,14.5432,11.9124,2.63073,25.9923,24.5409,1.4514,333125.0,224459.0,108666.0,0,0,0,0,0,2,84,30,31,934
3,1,131072,16,2,32,32,2,2,16,8,2,2,262144,1,1,21966,77.1116,7.89993,5.21277,2.68716,69.2116,62.411,6.800669999999998,1043200.0,224334.0,818865.0,0,0,0,0,0,4,84,30,31,939
4,1,16384,1,2,32,16,4,4,8,8,8,1,524288,0,0,40589,9.03592,4.66948,2.11378,2.5557,4.36644,3.66823,0.69821,273543.0,210421.0,63121.4,0,0,0,0,0,2,84,30,31,922
1,1,32768,2,4,64,128,2,1,16,4,4,2,131072,1,1,38085,36.9756,14.8269,12.0333,2.79355,22.1487,20.6163,1.53246,438710.0,237736.0,200974.0,0,0,0,0,0,4,84,30,31,937
2,1,131072,8,3,64,32,4,1,64,8,8,2,131072,1,0,18928,59.5563,12.4497,9.76537,2.68436,47.1066,41.2371,5.86951,971247.0,224413.0,746834.0,0,0,0,0,0,4,84,30,31,936
4,1,16384,16,1,32,32,4,1,16,4,4,2,262144,0,1,31030,19.1441,5.41533,2.71996,2.69536,13.7288,12.2921,1.43661,392596.0,223106.0,169490.0,0,0,0,0,0,4,84,30,31,940
1,1,32768,1,4,32,16,3,16,16,4,4,2,524288,0,1,72277,23.7922,9.15631,6.36276,2.79355,14.6359,13.0396,1.59633,457949.0,237736.0,220213.0,0,0,0,0,0,4,84,30,31,937
2,0,131072,16,2,32,64,2,2,16,4,2,2,262144,0,0,39256,66.9072,5.32806,4.71439,0.613671,61.5791,54.7785,6.800669999999998,875797.0,56932.9,818865.0,0,0,0,0,0,4,84,30,31,61
5,0,16384,16,1,32,128,1,2,64,8,4,2,131072,1,0,50173,9.60417,1.89792,1.29236,0.6055590000000001,7.70625,6.26964,1.43661,223678.0,54187.7,169490.0,0,0,0,0,0,4,84,30,31,58
5,0,16384,16,1,64,64,3,1,32,8,2,1,262144,1,0,44739,6.800110000000001,1.99917,1.44974,0.5494359999999999,4.80093,3.91842,0.8825129999999999,119799.0,48251.6,71547.2,0,0,0,0,0,2,84,30,31,75
2,0,16384,1,2,64,16,3,2,64,4,2,2,1048576,0,1,122102,4.86072,2.20346,1.5093299999999998,0.694132,2.65726,1.84022,0.817041,166386.0,63440.7,102946.0,0,0,0,0,0,4,84,30,31,95
1,0,131072,1,4,32,128,2,8,16,8,2,1,131072,1,0,60631,41.1103,8.19098,7.67117,0.519808,32.9193,27.9838,4.93548,499764.0,53724.9,446039.0,0,0,0,0,0,2,84,30,31,42
3,1,131072,8,3,64,128,2,2,32,8,1,2,1048576,0,0,18332,43.1708,8.890789999999997,6.20126,2.68953,34.28,28.4105,5.86951,971359.0,224525.0,746834.0,0,0,0,0,0,4,84,30,31,940
2,0,16384,1,1,32,16,3,4,32,8,1,1,131072,0,1,115597,5.4724900000000005,2.1004400000000003,1.63073,0.469718,3.37204,2.67383,0.69821,105951.0,42829.3,63121.4,0,0,0,0,0,2,84,30,31,41
2,1,131072,8,3,32,128,1,8,8,4,1,2,262144,0,1,26400,53.4434,9.70181,7.01509,2.68672,43.7416,37.4563,6.28526,1129760.0,224604.0,905154.0,0,0,0,0,0,4,84,30,31,937
2,1,131072,8,3,32,32,4,1,8,4,2,1,131072,0,0,32316,40.2786,8.41028,5.86041,2.54987,31.8683,26.7537,5.1146699999999985,672205.0,211075.0,461130.0,0,0,0,0,0,2,84,30,31,920
5,0,131072,1,2,32,16,4,2,64,8,4,2,524288,1,0,40725,16.8814,2.19231,1.58675,0.6055590000000001,14.6891,8.6755,6.0136,926225.0,54187.7,872037.0,0,0,0,0,0,4,84,30,31,58
1,1,131072,16,4,32,128,2,16,16,4,4,1,1048576,1,1,40780,70.0121,14.0467,11.4491,2.5976,55.9654,50.6653,5.30006,604476.0,221779.0,382696.0,0,0,0,0,0,2,84,30,31,920
3,0,131072,1,1,32,32,2,4,8,4,2,1,262144,0,1,44108,20.8471,3.0953,2.61952,0.475783,17.7518,12.8163,4.93548,489116.0,43076.7,446039.0,0,0,0,0,0,2,84,30,31,44
2,1,65536,1,1,64,32,4,16,64,4,2,2,131072,0,1,27983,29.8911,9.29011,6.6033800000000005,2.68672,20.601,17.7096,2.8913900000000003,612525.0,224604.0,387921.0,0,0,0,0,0,4,84,30,31,937
5,1,32768,1,3,32,16,1,4,32,4,8,2,131072,0,0,38039,11.0231,4.40066,1.71258,2.68808,6.6224,5.02607,1.59633,442838.0,222625.0,220213.0,0,0,0,0,0,4,84,30,31,938
4,1,65536,2,1,64,128,3,16,8,4,8,1,131072,1,0,30385,13.6128,5.3638,2.81047,2.55333,8.24895,5.78279,2.46617,398706.0,210230.0,188476.0,0,0,0,0,0,2,84,30,31,921
3,1,32768,4,1,32,64,4,2,16,8,4,2,131072,0,1,32185,19.2964,6.25873,3.56446,2.69426,13.0377,11.3648,1.6728900000000002,425531.0,224908.0,200623.0,0,0,0,0,0,4,84,30,31,942
3,0,131072,2,1,32,32,4,8,64,8,2,2,262144,1,1,40228,24.3733,3.43961,2.8397,0.599911,20.9337,14.9046,6.02909,925525.0,55513.7,870011.0,0,0,0,0,0,4,84,30,31,57
2,0,16384,16,1,64,128,1,2,64,8,4,2,131072,1,0,36578,24.5063,5.73591,5.04178,0.694132,18.7704,17.3733,1.3971,243999.0,63440.7,180558.0,0,0,0,0,0,4,84,30,31,95
4,1,16384,8,1,64,128,3,8,32,8,2,1,131072,1,0,31329,10.3359,5.29905,2.72678,2.57226,5.03685,4.327380000000002,0.7094659999999999,268364.0,211761.0,56602.5,0,0,0,0,0,2,84,30,31,929
5,0,32768,16,3,64,32,4,2,64,8,4,1,262144,0,1,51247,7.13334,1.81506,1.26562,0.5494359999999999,5.3182800000000015,3.86688,1.4514,156918.0,48251.6,108666.0,0,0,0,0,0,2,84,30,31,75
